station,valid,tmpf,dwpf,sped,skyc1,skyc2,skyc3
ISP,1/1/1987 0:00,33,20,6.9,M,M,M
ISP,1/1/1987 1:00,33,20,8.05,M,M,M
ISP,1/1/1987 2:00,32,20,5.75,M,M,M
ISP,1/1/1987 3:00,26,20,M,M,M,M
ISP,1/1/1987 4:00,26,20,4.6,M,M,M
ISP,1/1/1987 5:00,22,16,0,CLR,   ,   
ISP,1/1/1987 6:00,20,15,0,CLR,   ,   
ISP,1/1/1987 7:00,20,15,0,CLR,   ,   
ISP,1/1/1987 8:00,20,15,5.75,CLR,   ,   
ISP,1/1/1987 9:00,19,14,5.75,CLR,   ,   
ISP,1/1/1987 10:00,18,14,5.75,CLR,   ,   
ISP,1/1/1987 11:00,20,16,5.75,CLR,   ,   
ISP,1/1/1987 12:00,21,17,5.75,CLR,   ,   
ISP,1/1/1987 13:00,24,18,5.75,SCT,   ,   
ISP,1/1/1987 14:00,32,25,9.2,OVC,   ,   
ISP,1/1/1987 15:00,34,27,9.2,BKN,OVC,   
ISP,1/1/1987 16:00,36,29,12.65,BKN,OVC,   
ISP,1/1/1987 17:00,37,30,11.5,SCT,OVC,   
ISP,1/1/1987 18:00,37,30,12.65,SCT,OVC,   
ISP,1/1/1987 19:00,37,30,11.5,SCT,BKN,OVC
ISP,1/1/1987 20:00,37,30,9.2,SCT,BKN,OVC
ISP,1/1/1987 21:00,37,30,11.5,BKN,OVC,   
ISP,1/1/1987 22:00,37,30,12.65,BKN,OVC,   
ISP,1/1/1987 23:00,35,31,12.65,OVC,   ,   
ISP,1/2/1987 0:00,34,31,11.5,OVC,   ,   
ISP,1/2/1987 1:00,34,31,14.95,BKN,OVC,   
ISP,1/2/1987 2:00,34,31,14.95,BKN,OVC,   
ISP,1/2/1987 3:00,34,32,14.95,BKN,OVC,   
ISP,1/2/1987 4:00,35,32,17.25,BKN,OVC,   
ISP,1/2/1987 5:00,36,32,19.55,OVC,   ,   
ISP,1/2/1987 6:00,36,32,23,OVC,   ,   
ISP,1/2/1987 7:00,37,32,26.45,OVC,   ,   
ISP,1/2/1987 8:00,37,32,26.45,OVC,   ,   
ISP,1/2/1987 9:00,37,32,25.3,BKN,OVC,   
ISP,1/2/1987 10:00,36,32,23,BKN,OVC,   
ISP,1/2/1987 11:00,37,32,20.7,BKN,OVC,   
ISP,1/2/1987 12:00,37,32,17.25,BKN,OVC,   
ISP,1/2/1987 13:00,37,32,20.7,BKN,OVC,   
ISP,1/2/1987 14:00,37,32,20.7,OVC,   ,   
ISP,1/2/1987 15:00,38,32,17.25,BKN,OVC,   
ISP,1/2/1987 16:00,39,32,13.8,BKN,OVC,   
ISP,1/2/1987 17:00,39,31,11.5,BKN,OVC,   
ISP,1/2/1987 18:00,40,31,9.2,SCT,OVC,   
ISP,1/2/1987 19:00,38,32,14.95,OVC,OVC,   
ISP,1/2/1987 20:00,35,31,13.8,OVC,OVC,   
ISP,1/2/1987 21:00,34,31,14.95,OVC,   ,   
ISP,1/2/1987 22:00,33,30,4.6,OVC,OVC,   
ISP,1/2/1987 23:00,33,31,12.65,SCT,OVC,   
ISP,1/3/1987 0:00,34,31,13.8,BKN,OVC,   
ISP,1/3/1987 1:00,34,30,12.65,SCT,BKN,OVC
ISP,1/3/1987 2:00,34,29,16.1,SCT,BKN,OVC
ISP,1/3/1987 3:00,34,28,13.8,BKN,OVC,   
ISP,1/3/1987 4:00,33,25,14.95,SCT,OVC,   
ISP,1/3/1987 5:00,33,26,14.95,SCT,OVC,   
ISP,1/3/1987 6:00,32,25,17.25,SCT,OVC,   
ISP,1/3/1987 7:00,32,25,14.95,SCT,OVC,   
ISP,1/3/1987 8:00,31,25,17.25,OVC,   ,   
ISP,1/3/1987 9:00,30,27,11.5,OVC,   ,   
ISP,1/3/1987 10:00,31,28,14.95,SCT,OVC,   
ISP,1/3/1987 11:00,32,27,16.1,BKN,OVC,   
ISP,1/3/1987 12:00,31,25,17.25,SCT,OVC,   
ISP,1/3/1987 13:00,32,24,17.25,SCT,SCT,BKN
ISP,1/3/1987 14:00,34,25,16.1,SCT,OVC,   
ISP,1/3/1987 15:00,35,26,20.7,SCT,BKN,OVC
ISP,1/3/1987 16:00,36,25,25.3,SCT,BKN,OVC
ISP,1/3/1987 17:00,36,27,20.7,SCT,BKN,OVC
ISP,1/3/1987 18:00,36,26,17.25,SCT,BKN,OVC
ISP,1/3/1987 19:00,36,26,17.25,SCT,BKN,OVC
ISP,1/3/1987 20:00,36,26,18.4,SCT,BKN,OVC
ISP,1/3/1987 21:00,36,26,18.4,SCT,BKN,BKN
ISP,1/3/1987 22:00,35,25,16.1,SCT,BKN,BKN
ISP,1/3/1987 23:00,34,23,14.95,SCT,BKN,   
ISP,1/4/1987 0:00,33,22,13.8,SCT,   ,   
ISP,1/4/1987 1:00,32,20,12.65,SCT,   ,   
ISP,1/4/1987 2:00,32,20,13.8,SCT,   ,   
ISP,1/4/1987 3:00,30,21,8.05,CLR,   ,   
ISP,1/4/1987 4:00,29,19,10.35,CLR,   ,   
ISP,1/4/1987 5:00,29,19,13.8,CLR,   ,   
ISP,1/4/1987 6:00,28,19,13.8,CLR,   ,   
ISP,1/4/1987 7:00,27,18,14.95,CLR,   ,   
ISP,1/4/1987 8:00,27,18,11.5,CLR,   ,   
ISP,1/4/1987 9:00,27,18,14.95,CLR,   ,   
ISP,1/4/1987 10:00,26,18,9.2,CLR,   ,   
ISP,1/4/1987 11:00,26,17,11.5,CLR,   ,   
ISP,1/4/1987 12:00,26,17,8.05,CLR,   ,   
ISP,1/4/1987 13:00,25,18,5.75,FEW,   ,   
ISP,1/4/1987 14:00,26,17,9.2,BKN,   ,   
ISP,1/4/1987 15:00,30,18,14.95,BKN,   ,   
ISP,1/4/1987 16:00,30,18,16.1,BKN,   ,   
ISP,1/4/1987 17:00,32,18,14.95,BKN,   ,   
ISP,1/4/1987 18:00,34,20,17.25,SCT,BKN,   
ISP,1/4/1987 19:00,34,20,17.25,SCT,BKN,   
ISP,1/4/1987 20:00,33,20,18.4,SCT,BKN,   
ISP,1/4/1987 21:00,33,21,16.1,SCT,OVC,   
ISP,1/4/1987 22:00,32,21,10.35,SCT,OVC,   
ISP,1/4/1987 23:00,32,21,9.2,SCT,BKN,   
ISP,1/5/1987 0:00,31,21,9.2,SCT,OVC,   
ISP,1/5/1987 1:00,30,20,6.9,SCT,SCT,   
ISP,1/5/1987 2:00,30,19,5.75,SCT,   ,   
ISP,1/5/1987 3:00,29,19,9.2,CLR,   ,   
ISP,1/5/1987 4:00,29,17,8.05,CLR,   ,   
ISP,1/5/1987 5:00,28,18,9.2,CLR,   ,   
ISP,1/5/1987 6:00,28,17,10.35,CLR,   ,   
ISP,1/5/1987 7:00,29,15,11.5,CLR,   ,   
ISP,1/5/1987 8:00,28,16,11.5,CLR,   ,   
ISP,1/5/1987 9:00,28,16,13.8,CLR,   ,   
ISP,1/5/1987 10:00,28,14,17.25,CLR,   ,   
ISP,1/5/1987 11:00,28,14,16.1,CLR,   ,   
ISP,1/5/1987 12:00,27,13,18.4,CLR,   ,   
ISP,1/5/1987 13:00,28,15,19.55,CLR,   ,   
ISP,1/5/1987 14:00,30,16,16.1,CLR,   ,   
ISP,1/5/1987 15:00,31,15,23,CLR,   ,   
ISP,1/5/1987 16:00,32,16,24.15,CLR,   ,   
ISP,1/5/1987 17:00,35,17,20.7,CLR,   ,   
ISP,1/5/1987 18:00,35,18,16.1,CLR,   ,   
ISP,1/5/1987 19:00,36,18,16.1,CLR,   ,   
ISP,1/5/1987 20:00,37,20,11.5,FEW,   ,   
ISP,1/5/1987 21:00,37,19,11.5,CLR,   ,   
ISP,1/5/1987 22:00,35,21,8.05,CLR,   ,   
ISP,1/5/1987 23:00,32,22,8.05,CLR,   ,   
ISP,1/6/1987 0:00,32,23,8.05,CLR,   ,   
