station,valid,tmpf,dwpf,sped,skyc1,skyc2,skyc3
ISP,1987-01-01 00:00,33.00,20.00,6.90,M,M,M
ISP,1987-01-01 01:00,33.00,20.00,8.05,M,M,M
ISP,1987-01-01 02:00,32.00,20.00,5.75,M,M,M
ISP,1987-01-01 03:00,26.00,20.00,M,M,M,M
ISP,1987-01-01 04:00,26.00,20.00,4.60,M,M,M
ISP,1987-01-01 05:00,22.00,16.00,0.00,CLR,   ,   
ISP,1987-01-01 06:00,20.00,15.00,0.00,CLR,   ,   
ISP,1987-01-01 07:00,20.00,15.00,0.00,CLR,   ,   
ISP,1987-01-01 08:00,20.00,15.00,5.75,CLR,   ,   
ISP,1987-01-01 09:00,19.00,14.00,5.75,CLR,   ,   
ISP,1987-01-01 10:00,18.00,14.00,5.75,CLR,   ,   
ISP,1987-01-01 11:00,20.00,16.00,5.75,CLR,   ,   
ISP,1987-01-01 12:00,21.00,17.00,5.75,CLR,   ,   
ISP,1987-01-01 13:00,24.00,18.00,5.75,SCT,   ,   
ISP,1987-01-01 14:00,32.00,25.00,9.20,OVC,   ,   
ISP,1987-01-01 15:00,34.00,27.00,9.20,BKN,OVC,   
ISP,1987-01-01 16:00,36.00,29.00,12.65,BKN,OVC,   
ISP,1987-01-01 17:00,37.00,30.00,11.50,SCT,OVC,   
ISP,1987-01-01 18:00,37.00,30.00,12.65,SCT,OVC,   
ISP,1987-01-01 19:00,37.00,30.00,11.50,SCT,BKN,OVC
ISP,1987-01-01 20:00,37.00,30.00,9.20,SCT,BKN,OVC
ISP,1987-01-01 21:00,37.00,30.00,11.50,BKN,OVC,   
ISP,1987-01-01 22:00,37.00,30.00,12.65,BKN,OVC,   
ISP,1987-01-01 23:00,35.00,31.00,12.65,OVC,   ,   
ISP,1987-01-02 00:00,34.00,31.00,11.50,OVC,   ,   
ISP,1987-01-02 01:00,34.00,31.00,14.95,BKN,OVC,   
ISP,1987-01-02 02:00,34.00,31.00,14.95,BKN,OVC,   
ISP,1987-01-02 03:00,34.00,32.00,14.95,BKN,OVC,   
ISP,1987-01-02 04:00,35.00,32.00,17.25,BKN,OVC,   
ISP,1987-01-02 05:00,36.00,32.00,19.55,OVC,   ,   
ISP,1987-01-02 06:00,36.00,32.00,23.00,OVC,   ,   
ISP,1987-01-02 07:00,37.00,32.00,26.45,OVC,   ,   
ISP,1987-01-02 08:00,37.00,32.00,26.45,OVC,   ,   
ISP,1987-01-02 09:00,37.00,32.00,25.30,BKN,OVC,   
ISP,1987-01-02 10:00,36.00,32.00,23.00,BKN,OVC,   
ISP,1987-01-02 11:00,37.00,32.00,20.70,BKN,OVC,   
ISP,1987-01-02 12:00,37.00,32.00,17.25,BKN,OVC,   
ISP,1987-01-02 13:00,37.00,32.00,20.70,BKN,OVC,   
ISP,1987-01-02 14:00,37.00,32.00,20.70,OVC,   ,   
ISP,1987-01-02 15:00,38.00,32.00,17.25,BKN,OVC,   
ISP,1987-01-02 16:00,39.00,32.00,13.80,BKN,OVC,   
ISP,1987-01-02 17:00,39.00,31.00,11.50,BKN,OVC,   
ISP,1987-01-02 18:00,40.00,31.00,9.20,SCT,OVC,   
ISP,1987-01-02 19:00,38.00,32.00,14.95,OVC,OVC,   
ISP,1987-01-02 20:00,35.00,31.00,13.80,OVC,OVC,   
ISP,1987-01-02 21:00,34.00,31.00,14.95,OVC,   ,   
ISP,1987-01-02 22:00,33.00,30.00,4.60,OVC,OVC,   
ISP,1987-01-02 23:00,33.00,31.00,12.65,SCT,OVC,   
ISP,1987-01-03 00:00,34.00,31.00,13.80,BKN,OVC,   
ISP,1987-01-03 01:00,34.00,30.00,12.65,SCT,BKN,OVC
ISP,1987-01-03 02:00,34.00,29.00,16.10,SCT,BKN,OVC
ISP,1987-01-03 03:00,34.00,28.00,13.80,BKN,OVC,   
ISP,1987-01-03 04:00,33.00,25.00,14.95,SCT,OVC,   
ISP,1987-01-03 05:00,33.00,26.00,14.95,SCT,OVC,   
ISP,1987-01-03 06:00,32.00,25.00,17.25,SCT,OVC,   
ISP,1987-01-03 07:00,32.00,25.00,14.95,SCT,OVC,   
ISP,1987-01-03 08:00,31.00,25.00,17.25,OVC,   ,   
ISP,1987-01-03 09:00,30.00,27.00,11.50,OVC,   ,   
ISP,1987-01-03 10:00,31.00,28.00,14.95,SCT,OVC,   
ISP,1987-01-03 11:00,32.00,27.00,16.10,BKN,OVC,   
ISP,1987-01-03 12:00,31.00,25.00,17.25,SCT,OVC,   
ISP,1987-01-03 13:00,32.00,24.00,17.25,SCT,SCT,BKN
ISP,1987-01-03 14:00,34.00,25.00,16.10,SCT,OVC,   
ISP,1987-01-03 15:00,35.00,26.00,20.70,SCT,BKN,OVC
ISP,1987-01-03 16:00,36.00,25.00,25.30,SCT,BKN,OVC
ISP,1987-01-03 17:00,36.00,27.00,20.70,SCT,BKN,OVC
ISP,1987-01-03 18:00,36.00,26.00,17.25,SCT,BKN,OVC
ISP,1987-01-03 19:00,36.00,26.00,17.25,SCT,BKN,OVC
ISP,1987-01-03 20:00,36.00,26.00,18.40,SCT,BKN,OVC
ISP,1987-01-03 21:00,36.00,26.00,18.40,SCT,BKN,BKN
ISP,1987-01-03 22:00,35.00,25.00,16.10,SCT,BKN,BKN
ISP,1987-01-03 23:00,34.00,23.00,14.95,SCT,BKN,   
ISP,1987-01-04 00:00,33.00,22.00,13.80,SCT,   ,   
ISP,1987-01-04 01:00,32.00,20.00,12.65,SCT,   ,   
ISP,1987-01-04 02:00,32.00,20.00,13.80,SCT,   ,   
ISP,1987-01-04 03:00,30.00,21.00,8.05,CLR,   ,   
ISP,1987-01-04 04:00,29.00,19.00,10.35,CLR,   ,   
ISP,1987-01-04 05:00,29.00,19.00,13.80,CLR,   ,   
ISP,1987-01-04 06:00,28.00,19.00,13.80,CLR,   ,   
ISP,1987-01-04 07:00,27.00,18.00,14.95,CLR,   ,   
ISP,1987-01-04 08:00,27.00,18.00,11.50,CLR,   ,   
ISP,1987-01-04 09:00,27.00,18.00,14.95,CLR,   ,   
ISP,1987-01-04 10:00,26.00,18.00,9.20,CLR,   ,   
ISP,1987-01-04 11:00,26.00,17.00,11.50,CLR,   ,   
ISP,1987-01-04 12:00,26.00,17.00,8.05,CLR,   ,   
ISP,1987-01-04 13:00,25.00,18.00,5.75,FEW,   ,   
ISP,1987-01-04 14:00,26.00,17.00,9.20,BKN,   ,   
ISP,1987-01-04 15:00,30.00,18.00,14.95,BKN,   ,   
ISP,1987-01-04 16:00,30.00,18.00,16.10,BKN,   ,   
ISP,1987-01-04 17:00,32.00,18.00,14.95,BKN,   ,   
ISP,1987-01-04 18:00,34.00,20.00,17.25,SCT,BKN,   
ISP,1987-01-04 19:00,34.00,20.00,17.25,SCT,BKN,   
ISP,1987-01-04 20:00,33.00,20.00,18.40,SCT,BKN,   
ISP,1987-01-04 21:00,33.00,21.00,16.10,SCT,OVC,   
ISP,1987-01-04 22:00,32.00,21.00,10.35,SCT,OVC,   
ISP,1987-01-04 23:00,32.00,21.00,9.20,SCT,BKN,   
ISP,1987-01-05 00:00,31.00,21.00,9.20,SCT,OVC,   
ISP,1987-01-05 01:00,30.00,20.00,6.90,SCT,SCT,   
ISP,1987-01-05 02:00,30.00,19.00,5.75,SCT,   ,   
ISP,1987-01-05 03:00,29.00,19.00,9.20,CLR,   ,   
ISP,1987-01-05 04:00,29.00,17.00,8.05,CLR,   ,   
ISP,1987-01-05 05:00,28.00,18.00,9.20,CLR,   ,   
ISP,1987-01-05 06:00,28.00,17.00,10.35,CLR,   ,   
ISP,1987-01-05 07:00,29.00,15.00,11.50,CLR,   ,   
ISP,1987-01-05 08:00,28.00,16.00,11.50,CLR,   ,   
ISP,1987-01-05 09:00,28.00,16.00,13.80,CLR,   ,   
ISP,1987-01-05 10:00,28.00,14.00,17.25,CLR,   ,   
ISP,1987-01-05 11:00,28.00,14.00,16.10,CLR,   ,   
ISP,1987-01-05 12:00,27.00,13.00,18.40,CLR,   ,   
ISP,1987-01-05 13:00,28.00,15.00,19.55,CLR,   ,   
ISP,1987-01-05 14:00,30.00,16.00,16.10,CLR,   ,   
ISP,1987-01-05 15:00,31.00,15.00,23.00,CLR,   ,   
ISP,1987-01-05 16:00,32.00,16.00,24.15,CLR,   ,   
ISP,1987-01-05 17:00,35.00,17.00,20.70,CLR,   ,   
ISP,1987-01-05 18:00,35.00,18.00,16.10,CLR,   ,   
ISP,1987-01-05 19:00,36.00,18.00,16.10,CLR,   ,   
ISP,1987-01-05 20:00,37.00,20.00,11.50,FEW,   ,   
ISP,1987-01-05 21:00,37.00,19.00,11.50,CLR,   ,   
ISP,1987-01-05 22:00,35.00,21.00,8.05,CLR,   ,   
ISP,1987-01-05 23:00,32.00,22.00,8.05,CLR,   ,   
ISP,1987-01-06 00:00,32.00,23.00,8.05,CLR,   ,   
ISP,1987-01-06 01:00,31.00,22.00,6.90,CLR,   ,   
ISP,1987-01-06 02:00,31.00,22.00,8.05,CLR,   ,   
ISP,1987-01-06 03:00,31.00,22.00,10.35,CLR,   ,   
ISP,1987-01-06 04:00,30.00,22.00,5.75,CLR,   ,   
ISP,1987-01-06 05:00,28.00,22.00,4.60,CLR,   ,   
ISP,1987-01-06 06:00,27.00,22.00,4.60,CLR,   ,   
ISP,1987-01-06 07:00,25.00,21.00,4.60,CLR,   ,   
ISP,1987-01-06 08:00,23.00,19.00,3.45,CLR,   ,   
ISP,1987-01-06 09:00,23.00,20.00,5.75,CLR,   ,   
ISP,1987-01-06 10:00,22.00,20.00,5.75,CLR,   ,   
ISP,1987-01-06 11:00,22.00,20.00,0.00,CLR,   ,   
ISP,1987-01-06 12:00,19.00,16.00,3.45,CLR,   ,   
ISP,1987-01-06 13:00,22.00,20.00,0.00,CLR,   ,   
ISP,1987-01-06 14:00,30.00,25.00,5.75,SCT,SCT,   
ISP,1987-01-06 15:00,32.00,25.00,5.75,SCT,   ,   
ISP,1987-01-06 16:00,35.00,25.00,0.00,SCT,   ,   
ISP,1987-01-06 17:00,38.00,24.00,0.00,FEW,   ,   
ISP,1987-01-06 18:00,39.00,23.00,0.00,FEW,   ,   
ISP,1987-01-06 19:00,38.00,24.00,5.75,FEW,   ,   
